feature,importance,mean_absolute_shap,gain_rank,shap_rank
ORGANIZATION_TYPE_Medicine,0.0032415262,0.0024915352,96.0,133.0
BB_SEVERE_RATE_MEAN,0.0028440398,0.0022366354,135.0,134.0
AMT_REQ_CREDIT_BUREAU_MON,0.0021200515,0.002125287,185.0,135.0
NAME_TYPE_SUITE_Unaccompanied,0.0035657724,0.0020595149,77.0,136.0
PREV_REFUSED_COUNT,0.002975308,0.002031815,122.0,137.0
OCCUPATION_TYPE_Medicine staff,0.0022698252,0.001928762,177.0,138.0
ORGANIZATION_TYPE_Police,0.0027274895,0.0019096535,148.0,139.0
NAME_EDUCATION_TYPE_Lower secondary,0.0028103353,0.001869805,138.0,140.0
REGION_RATING_CLIENT,0.00425894,0.0017778835,56.0,141.0
BB_DELINQUENT_COUNT_SUM,0.002652079,0.0017537883,155.0,142.0
ORGANIZATION_TYPE_Kindergarten,0.0024126335,0.0016327079,170.0,143.0
ORGANIZATION_TYPE_Trade: type 7,0.0023731245,0.0016148621,172.0,144.0
OCCUPATION_TYPE_Low-skill Laborers,0.0031199623,0.0015801926,109.0,145.0
FLAG_DOCUMENT_11,0.0024052486,0.0015797669,171.0,146.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0029842868,0.0015220658,120.0,147.0
ADDRESS_MISMATCH_COUNT,0.0022132653,0.0014058235,179.0,148.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0020933116,0.001351166,187.0,149.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0032871675,0.001349273,95.0,150.0
ORGANIZATION_TYPE_Security Ministries,0.0021255475,0.0013442588,184.0,151.0
NAME_FAMILY_STATUS_Widow,0.0029489975,0.0013322175,124.0,152.0
REG_REGION_NOT_LIVE_REGION,0.0017908198,0.0012450289,194.0,153.0
ORGANIZATION_TYPE_Government,0.0023552258,0.0012251356,173.0,154.0
ORGANIZATION_TYPE_Bank,0.0022010212,0.0011892633,180.0,155.0
REG_REGION_NOT_WORK_REGION,0.003867176,0.0011684565,64.0,156.0
ORGANIZATION_TYPE_Realtor,0.0026191366,0.001162657,159.0,157.0
DAYS_EMPLOYED_ANOM,0.0028618437,0.0011097204,133.0,158.0
ORGANIZATION_TYPE_Business Entity Type 1,0.0020971745,0.0010663097,186.0,159.0
NAME_INCOME_TYPE_Commercial associate,0.0018026216,0.0010121777,193.0,160.0
FLAG_OWN_CAR_Y,0.0016856059,0.0009836459,201.0,161.0
ORGANIZATION_TYPE_Trade: type 2,0.0022993488,0.00093039864,175.0,162.0
ORGANIZATION_TYPE_Industry: type 3,0.002191184,0.0009102799,181.0,163.0
BUREAU_OVERDUE_AMOUNT_MAX,0.0059615457,0.0008654903,33.0,164.0
LIVE_CITY_NOT_WORK_CITY,0.0027182524,0.00084165414,149.0,165.0
FLAG_OWN_REALTY_N,0.0027177692,0.00079391565,150.0,166.0
BB_SEVERE_COUNT_SUM,0.0028463127,0.0007756343,134.0,167.0
NAME_FAMILY_STATUS_Civil marriage,0.0045334836,0.0007730842,51.0,168.0
OCCUPATION_TYPE_Private service staff,0.0017722291,0.00066184794,195.0,169.0
FLAG_DOCUMENT_18,0.0024193176,0.0006558927,169.0,170.0
NAME_TYPE_SUITE_Other_B,0.0017623239,0.0006523485,196.0,171.0
NAME_EDUCATION_TYPE_Incomplete higher,0.003083934,0.00058581325,113.0,172.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0019142857,0.0005817549,191.0,173.0
ORGANIZATION_TYPE_Trade: type 6,0.001936551,0.0005587804,189.0,174.0
OCCUPATION_TYPE_Cooking staff,0.0032350707,0.00054296735,97.0,175.0
ORGANIZATION_TYPE_Industry: type 12,0.0017573484,0.0005229101,197.0,176.0
OCCUPATION_TYPE_Managers,0.0025527505,0.0005171396,162.0,177.0
BUREAU_OVERDUE_RATE,0.001931293,0.00050185935,190.0,178.0
FLAG_EMAIL,0.0048353514,0.0005003068,48.0,179.0
NAME_TYPE_SUITE_Missing,0.0021586684,0.00048180437,183.0,180.0
ORGANIZATION_TYPE_Business Entity Type 2,0.004818974,0.00047925004,49.0,181.0
OCCUPATION_TYPE_Sales staff,0.0029170495,0.00045940577,130.0,182.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0016683198,0.0004514989,202.0,183.0
NAME_TYPE_SUITE_Children,0.0024786792,0.00041133902,166.0,184.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.003162046,0.00040818143,103.0,185.0
"NAME_TYPE_SUITE_Spouse, partner",0.0014093339,0.00034315593,205.0,186.0
ORGANIZATION_TYPE_Hotel,0.0017286764,0.0003295066,199.0,187.0
REG_CITY_NOT_WORK_CITY,0.0031998432,0.00032057657,98.0,188.0
ORGANIZATION_TYPE_Restaurant,0.0017250885,0.0003185997,200.0,189.0
ORGANIZATION_TYPE_Industry: type 5,0.0021847344,0.00031311603,182.0,190.0
FLAG_DOCUMENT_13,0.0015354215,0.0002473238,203.0,191.0
ORGANIZATION_TYPE_Transport: type 2,0.0043612327,0.00024706146,54.0,192.0
FLAG_CONT_MOBILE,0.0018535134,0.00023198617,192.0,193.0
ORGANIZATION_TYPE_Services,0.0026602065,0.00019942538,154.0,194.0
ORGANIZATION_TYPE_Trade: type 3,0.005185106,0.00018730563,43.0,195.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0035086763,0.00016953518,79.0,196.0
ORGANIZATION_TYPE_Advertising,0.0014563905,0.00015269688,204.0,197.0
FLAG_DOCUMENT_16,0.0022647025,0.00013907246,178.0,198.0
LIVE_REGION_NOT_WORK_REGION,0.0027397345,0.000138407,144.0,199.0
OCCUPATION_TYPE_Security staff,0.0025100973,0.00012804705,164.0,200.0
NAME_TYPE_SUITE_Family,0.0034205602,0.00012301798,84.0,201.0
ORGANIZATION_TYPE_Postal,0.0028866674,0.0001039133,131.0,202.0
ORGANIZATION_TYPE_Industry: type 1,0.0024652309,9.7091426e-05,167.0,203.0
ORGANIZATION_TYPE_Security,0.0035831903,7.6002565e-05,75.0,204.0
NAME_FAMILY_STATUS_Separated,0.0017518841,6.396717e-05,198.0,205.0
FLAG_DOCUMENT_20,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_University,0.0,0.0,206.0,206.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0,206.0,206.0
BUREAU_BAD_DEBT_COUNT,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_XNA,0.0,0.0,206.0,206.0
